Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
287,045-0010,UNKNOWN,UNK,46.898154000000000,-102.795798000000000
288,045-0011,30,30,46.876977000000000,-102.622359000000000
289,045-0012,9,9,46.731446000000000,-102.648804000000000
290,045-0013,22,22,46.890593000000000,-103.193779000000000
291,045-0014,4,4,46.834606000000000,-102.550867000000000
292,045-0015,50,50,46.845986000000000,-103.156625000000000
293,045-0017,77,77,46.898045000000000,-102.785238000000000
294,045-0018,250,250,46.861494000000000,-102.787481000000000
295,045-0019,7,7,46.900238000000000,-102.419227000000000
296,045-0019,4,4,46.900238000000000,-102.419227000000000
297,045-0020,UNKNOWN,UNK,46.897297000000000,-102.785334000000000
298,045-0021,7,7,46.900238000000000,-102.419227000000000
299,045-0023,79,79,46.894757000000000,-102.792184000000000
300,045-0025,UNKNOWN,UNK,46.900268000000000,-102.795838000000000
301,045-0027,28,28,46.878041000000000,-102.776493000000000
302,045-0029,12,12,46.890809000000000,-103.183711000000000
303,045-0030,UNKNOWN,UNK,46.879142000000000,-102.800133000000000
304,045-0032,40,40,46.892377000000000,-102.789679000000000
305,045-0033,12,12,46.890748000000000,-103.198343000000000
306,045-0035,10,10,46.851903000000000,-103.744478000000000
307,045-0036,119,119,46.893870000000000,-102.786198000000000
308,045-0037,30,30,46.879143000000000,-102.801716000000000
309,045-0038,192,192,46.899213000000000,-102.794661000000000
310,053-0064,24,24,48.252297000000000,-103.554090000000000
311,053-0065,6,6,48.169776000000000,-103.727289000000000
312,053-0066,420,420,48.251894000000000,-103.622742000000000
313,053-0067,24,24,48.157198000000000,-103.737889000000000
314,053-0069,31,31,48.225371000000000,-103.588047000000000
315,053-0070,32,32,48.223987000000000,-103.583855000000000
316,053-0071,2,2,48.141263000000000,-103.844206000000000
317,053-0072,25,25,48.340212000000000,-103.022356000000000
318,053-0073,48,48,48.141354000000000,-103.754593000000000
319,053-0074,12,12,48.142211000000000,-103.722386000000000
320,053-0086,3,3,48.148907000000000,-103.693016000000000
321,053-0087,180,180,48.268868000000000,-103.619952000000000
322,053-0088,8,8,48.227007000000000,-103.621519000000000
323,053-0089,892,892,48.340306000000000,-103.029067000000000
324,053-0090,20,20,48.287898000000000,-103.598827000000000
325,053-0091,12,12,48.122254000000000,-103.725821000000000
326,053-0092,89,89,48.346093000000000,-102.909764000000000
327,053-0092,7,7,48.346093000000000,-102.909764000000000
328,053-0093,2,2,48.227293000000000,-103.574504000000000
329,053-0094,6,6,48.168632000000000,-103.108777000000000
330,053-0095,148,148,48.293851000000000,-103.694446000000000
331,053-0075,44,44,48.364784000000000,-102.931915000000000
332,053-0076,9,9,48.147381000000000,-103.693424000000000
333,053-0077,2,2,48.147884000000000,-103.541573000000000
334,053-0078,13,13,48.147601000000000,-103.541774000000000
335,053-0079,50,50,48.150041000000000,-103.690410000000000
